Pos	Mean
0	31.165223353716843
1	31.673895685698195
2	35.76030764845159
3	35.995714343043524
4	36.199116714615656
5	39.68306771116582
6	39.697025778980766
7	39.9836729892907
8	40.08523849258901
9	40.102214648173444
10	40.141182852390465
11	40.15152710259423
12	40.09827618893423
13	40.083941863409734
14	40.10304894671366
15	40.09699741089307
16	40.011992920432355
17	40.04143636622786
18	40.05390005853513
19	40.051423040145686
20	40.01752829543772
21	40.073664174426376
22	40.01128053547879
23	40.05004227536972
24	40.0047627943535
25	39.996696847544364
26	39.935927975501045
27	39.96208805731184
28	39.9090441615016
29	39.945939419602766
30	39.85476521601953
31	39.91363633218616
32	39.89591098232461
33	39.93862349735623
34	39.95529217054617
35	39.9490351390659
36	39.93515221208813
37	39.90919070689123
38	39.91926677488054
39	39.90931428104887
40	39.88797027024409
41	39.8743230059656
42	39.85526726198137
43	39.85852225787837
44	39.77739450876851
45	39.8181521166053
46	39.82573718973269
47	39.82407675712627
48	39.819851711010834
49	39.813707321595864
50	39.81651257951713
51	39.80985313633426
52	39.729919614526125
53	39.76466844624524
54	39.77265440888516
55	39.76812533989813
56	39.71672610126992
57	39.73487240587676
58	39.72436223695518
59	39.716234018734006
60	39.70049346634507
61	39.69318031171685
62	39.64582317963365
63	39.66375471705946
64	39.65143480252351
65	39.640598193022
66	39.63294240724673
67	39.62060118204978
68	39.60462524372339
69	39.51648780933324
70	39.535137405330154
71	39.53285149098517
72	39.52144779649149
73	39.5036884049247
74	39.48208589856956
75	39.44418308902183
76	38.755282345501165
77	39.1372536646726
78	39.24594287912566
79	39.292440250580164
80	39.37703970010088
81	39.389499240980676
82	39.366762564641185
83	39.35099447445004
84	39.33361839801949
85	39.324938593468694
86	39.289052824146914
87	39.14553133428262
88	39.18357058741315
89	39.19223503168231
90	39.174118478972325
91	39.13448576959854
92	39.09749558218927
93	39.040673887382844
94	39.0190448118919
95	39.022159074397734
96	39.00256655084184
97	38.78278984228727
98	38.83545443600782
99	38.91186934627471
100	37.74822713289965
