Pos	Mean
0	30.421593274504197
1	30.999552374705225
2	34.25005070258078
3	34.811624425830395
4	35.35894346853173
5	38.438876617497186
6	38.35532326183492
7	38.53912380848935
8	38.734052192685084
9	38.55403766501675
10	38.681665267926014
11	38.77995869118607
12	38.634827878527645
13	38.73574086441324
14	38.596482556190765
15	38.362179353909106
16	38.45867743909114
17	38.59283697698909
18	38.42442625468734
19	38.50711703004223
20	38.3409190617095
21	38.40414038547539
22	38.587823828261236
23	38.580649010005594
24	38.57795511188087
25	38.54885225480105
26	38.502584940612216
27	38.573844002372624
28	38.526345909553385
29	38.456401211431036
30	38.33466113280173
31	37.96470506372402
32	37.895920372763676
33	37.71757881811648
34	37.60605571258977
35	37.54932593146369
36	37.528683828889186
37	37.56268307025977
38	37.54917802418619
39	37.97048787338526
40	38.18445624346064
41	38.33760621023878
42	38.316003686226125
43	38.4655388772115
44	38.47499722090457
45	38.4504915392455
46	38.48259429195013
47	38.43327005764395
48	38.41927113873329
49	38.379074556978246
50	38.45931667346944
51	38.48332746399692
52	38.47402135533302
53	38.27186672900892
54	38.30139005686326
55	38.38164099857354
56	38.39212994116804
57	38.32423837935035
58	38.289026094645386
59	38.22709435601782
60	38.207231588174544
61	38.249345533633
62	38.2498803079662
63	38.181364955903604
64	38.21943533872294
65	38.147125651602416
66	38.213687235932895
67	38.11348094643686
68	38.06444005257794
69	38.11380204863884
70	38.11233986258116
71	38.046008412809805
72	37.99416177814587
73	37.99194232040467
74	37.99344820826838
75	37.87496709635867
76	36.97718935440977
77	37.36248059936815
78	37.76943139283171
79	37.778968993780765
80	37.89199739316606
81	37.88471463569241
82	37.90716404130542
83	37.82090261625317
84	37.7211544744285
85	37.724527999280404
86	37.665225666791976
87	37.67170753563394
88	37.64330899892315
89	37.57400939037254
90	37.53888247269062
91	37.44886583206117
92	37.41737812924024
93	37.38224510179126
94	37.20418603901256
95	37.22645775223367
96	37.22543793028247
97	37.15572667617641
98	36.9104510959819
99	36.9886422824732
100	34.994054687506626
